index,food_name,WWEIA Category description,WWEIA Category number,Energy (kcal),Is_vegeterian,Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)",is_breakfast,is_lunch_dinner,Cost_CAD,carbon_footprint_gCO2,water_footprint_liters,is_lunch,,Protein (g)
455,Pizza with meat and fruit,Pizza,3602,235.3333333,0,10.81333333,28.12,3.95,1.866666667,8.82,3.759,2.474333333,1.734333333,19,48.66666667,55,0,76.33333333,0,1525,35.66666667,0.395,0.184333333,3.490666667,0.105666667,45,33.33333333,110.3333333,78.66666667,20.83333333,0.393333333,0,5.866666667,0.066666667,0.68,0,6.3,149,194.6666667,22,2.07,1.266666667,0.101,17,179.3333333,560.3333333,0,0,0,49.87333333,0,1,5,730.9999999,480.6666666,,,10.81333333
456,Pizza with meat and vegetables,Pizza,3602,262.6666667,0,11.305,26.755,4.073333333,2.083333333,12.25333333,4.677333333,4.414333333,2.265,18.66666667,54.83333333,62.16666667,0.5,87.66666667,0,1702,55.16666667,0.275,0.208333333,2.996166667,0.127833333,40.66666667,17.5,86.16666667,58.16666667,22.56666667,0.553333333,0,3.7,0.016666667,0.938333333,0,7.616666667,153.8333333,188.1666667,23.66666667,1.813333333,1.6,0.134833333,13.38333333,197.8333333,519.6666667,0,0,0,47.36833333,0,1,5,681.6666668,404.0000001,,,11.305
457,Pizza with meat other than pepperoni,Pizza,3602,275.4285714,0,11.45714286,29.17285714,3.33,2.357142857,12.51571429,5.082428571,4.061,2.319142857,22.14285714,59.42857143,67.14285714,0,89.28571429,0,1850.142857,25.85714286,0.274,0.192571429,2.987,0.095714286,48.57142857,28.42857143,111.1428571,76.85714286,23.34285714,0.584285714,0,1.128571429,0.028571429,0.891428571,0,6.742857143,164.4285714,193.2857143,23.57142857,2.304285714,1.371428571,0.129,20.38571429,190.4285714,530.1428571,0,0,0,44.52571429,0,1,5,851.2857142,560.8571428,,,11.45714286
458,Pizza with pepperoni,Pizza,3602,276.7,0,12.113,29.791,3.746,2.67,12.097,5.0604,3.7816,2.0164,24.7,62.7,70.4,0.1,91.1,0,1801.3,27.4,0.3041,0.2394,3.1669,0.1141,47.4,28.2,108.6,75.5,23.62,0.802,0,0.83,0.03,0.843,0,7.11,176.9,223.5,27.9,2.386,1.591,0.1178,21.89,223.7,567,0,0,0,43.526,0,1,5,855.1,563.4,,,12.113
460,Porcupine balls with mushroom sauce,Meat mixed dishes,3002,157,0,10.34,10.71,0.5,0.5,7.76,2.632,3.087,1.118,31,2,2,0,0,0,0,2,0.069,0.074,2.337,0.159,15,6,32,21,32.8,0.96,0,0.5,0.1,0.21,0,6.9,18,89,12,1.35,2.37,0.062,10,151,601,0,0,0,69.4,0,1,6,496,324,,,10.34
461,Porcupine balls with tomato-based sauce,Meat mixed dishes,3002,153,0,10.36,13.39,3,0.6,6.21,2.358,2.737,0.245,31,1,7,0,71,0,3314,28,0.078,0.073,2.483,0.18,15,5,31,20,33.4,0.96,0,4.4,0,0.16,0,1.7,18,91,15,1.48,2.39,0.07,10.1,310,501,0,0,0,68.18,0,1,6,484,316,,,10.36
464,Pork and vegetables excluding carrots,Meat mixed dishes,3002,124,0,10.07,5.52,1.06,1.2,7.03,1.661,3.023,1.771,26,1,7,15,59,26,0,255,0.341,0.138,2.258,0.212,0,13,13,13,39.3,0.24,0,1.8,0.2,0.8,0,12,17,103,19,0.6,1,0.044,11.5,221,319,0,0,0,76.16,0,1,5,1513,754,,,10.07
468,Pork hash,Meat mixed dishes,3002,186,0,12.94,1.96,0.56,0.5,13.66,4.425,6.014,1.868,56,4,6,1,26,0,0,47,0.295,0.201,2.853,0.188,0,9,9,9,45.3,0.44,0,2.7,1.2,0.55,0,13.3,20,146,17,0.9,1.98,0.098,20.2,268,486,0,0,0,69.55,0,1,5,2257,1126,,,12.94
469,Pork sandwich,Meat and BBQ sandwiches,3742,236,0,17.935,23.885,2.765,1.1,7.23,2.6985,2.1555,1.3345,42,20,20.5,0,6,0.5,0,22.5,0.4895,0.2465,5.4615,0.361,41,13,82.5,54,42.45,0.365,0,0,0.45,0.205,0,0.3,172.5,198,26.5,1.92,1.6,0.096,28.4,224,449.5,0,0,0,48.79,0,1,4,2857,1426,,,17.935
470,Pork shish kabob with vegetables,Meat mixed dishes,3002,124,0,13.87,5.06,2.37,0.8,5.17,1.702,2.258,0.668,37,1,11,2,110,27,0,33,0.485,0.211,3.172,0.339,0,13,13,13,49.4,0.33,0,15.3,0.3,0.35,0,4.8,19,138,20,0.66,1.3,0.092,17.8,316,216,0,0,0,74.79,0,1,5,1513,754,,,13.87
471,Pork with chili and tomatoes,Meat mixed dishes,3002,95,0,11.64,2.68,1.63,0.9,3.99,1.4,1.763,0.464,32,1,21,41,210,11,849,135,0.302,0.141,2.775,0.255,0,9,9,9,43.1,0.25,0,16.7,0.3,0.7,0,5,15,123,18,0.58,1.04,0.061,18.9,323,118,0,0,0,80.84,0,1,5,1165,580,,,11.64
472,Pot Pie with Beans,"Bean, pea, legume dishes",3102,242,1,5.44,27.96,3.69,3.5,12.15,4.189,5.261,1.576,5,27,120,345,951,0,0,265,0.191,0.119,1.795,0.111,18,52,83,71,18.3,0.08,0,1.8,0.2,0.44,0,7.8,41,97,19,1.88,0.61,0.103,3.6,185,360,0,0,0,53,0,1,4,751,494,,,5.44
474,Pot Pie with Poultry Mixed,Poultry mixed dishes,3004,255,0,9.24,23.95,3.33,2,13.54,4.599,5.853,1.852,29,29,123,345,950,0,0,266,0.177,0.143,3.124,0.211,18,17,48,35,30.4,0.15,0,1.5,0.3,0.47,0,8.3,39,108,18,1.37,0.64,0.064,8.8,171,375,0,0,0,52.06,0,1,6,790,520,,,9.24
476,"Puffs, fried, crab meat and cream cheese filled","Egg rolls, dumplings, sushi",3406,314,0,9.4,35.09,3.54,1.2,15.12,7.214,3.792,1.84,70,103,105,0,14,1,0,72,0.281,0.279,2.468,0.082,32,13,68,46,35.6,0.23,0,0.5,0.2,0.96,0,9,51,184,29,2.37,0.68,0.073,18.2,145,840,0,0,0,37.51,0,1,5,967,638,,,9.4
478,Quail egg,Eggs and omelets,2502,158,1,13.01,0.41,0.4,0,11.06,3.546,4.311,1.32,841,155,156,0,11,10,0,368,0.104,0.748,0.135,0.142,0,49,49,49,210.1,1.26,0,0,1.4,1.08,0,0.3,64,225,13,3.64,1.47,0.062,31.9,132,256,0,0,0,74.13,1,0,3,499,326,,,13.01
479,Quarter Pounder,Burgers,3702,256,0,15.68,22.14,3.67,1.1,11.6,4.785,5.404,1.179,40,0,2,1,26,2,668,21,0.16,0.201,4.65,0.148,13,9,31,22,33.3,1.66,0,0.3,0.1,0.06,0,5,87,121,24,1.73,3.04,0.101,24.8,225,374,0,0,0,48.81,0,1,6,793,522,,,15.68
480,Quarter Pounder with cheese,Burgers,3702,269,0,15.21,19.72,3.6,1.2,14.4,7.033,5.959,1.264,48,47,51,1,47,2,810,17,0.119,0.26,4.05,0.093,12,4,24,16,37.7,1.75,0,0.3,0.1,0.2,0,4.4,179,183,26,1.02,2.83,0.075,24.7,223,591,0,0,0,48.36,0,1,6,832,548,,,15.21
481,Quesadilla (Breakfast),Egg/breakfast sandwiches,3706,249,0,11.17,19.575,1.73,1.35,13.82,4.465,4.538,3.2235,208.5,106.5,107.5,0,6,7,0,249.5,0.231,0.333,1.856,0.066,30,33,83.5,62.5,136.9,0.525,0,0,1.5,1.22,0,6.5,144.5,216,16.5,2.25,1.09,0.044,26,132.5,487,0,0,0,53.45,1,0,4,772,508,,,11.17
489,Ratatouille,Vegetable dishes,3104,67,0,1.09,5.77,3.39,1.9,4.73,0.752,3.097,0.52,0,0,20,2,217,39,539,364,0.156,0.055,0.55,0.128,0,18,18,18,7.2,0,0,18.7,0,1.32,0,5.1,21,29,14,0.44,0.22,0.071,0.4,219,151,0,0,0,87.47,0,1,3,226,144,,,1.09
490,Ravioli,"Pasta mixed dishes, excludes macaroni and cheese",3204,144,0,6.914,16.21466667,1.522666667,0.866666667,5.72,2.2232,2.055133333,0.734866667,60.8,49.2,64.06666667,0.533333333,175.7333333,1.933333333,2094.133333,329.5333333,0.15,0.184,1.642466667,0.090466667,17.6,14.93333333,44.66666667,32.33333333,44.08,0.410666667,0,1.5,0.4,0.655333333,0,19.02,61.4,94.26666667,17.33333333,1.510666667,0.949333333,0.0632,9.793333333,175.5333333,457.6666667,0,0,0,69.418,0,1,4,457,298,,,6.914
491,Reuben sandwich,Deli and cured meat sandwiches,3740,282,0,10.01,16.42,3.48,2.2,19.43,5.786,6.573,4.678,43,53,56,1,32,8,361,67,0.308,0.179,1.93,0.144,14,18,42,32,26.1,0.7,0,2.5,0.1,1.62,0,17.2,117,131,21,1.69,2,0.112,20.3,134,688,0,0,0,51.7,0,1,4,871,574,,,10.01
494,Rice croquette,Rice mixed dishes,3202,154,0,3.35,20.08,0.62,0.9,6.58,1.72,2.629,1.756,43,19,28,0,114,1,0,217,0.119,0.071,1.091,0.085,34,20,78,54,32.8,0.09,0,2.1,0.3,0.58,0,30.7,31,56,14,1.11,0.51,0.053,8.2,130,416,0,0,0,68.37,0,1,3,410,241,,,3.35
496,Rice dressing,Rice mixed dishes,3202,110,1,1.98,17.61,0.71,0.6,3.29,0.663,1.502,0.984,0,28,31,0,41,0,0,20,0.12,0.031,1.045,0.044,31,5,57,36,3.8,0.02,0,0.5,0.1,0.39,0,5.9,19,31,8,0.92,0.26,0.053,3.8,59,600,0,0,0,75.43,0,1,3,300,175,,,1.98
498,Rice pilaf,Rice mixed dishes,3202,137,1,3.29,24.08,0.48,0.4,3.03,0.444,1.219,1.117,0,1,1,0,0,0,0,8,0.152,0.025,1.934,0.12,42,4,77,47,5.5,0.01,0,1,0,0.51,0,2.8,29,46,11,0.74,0.33,0.057,10.2,56,414,0,0,0,68.3,0,1,3,367.5,215.5,,,3.29
499,Rice with Spanish sausage,Rice mixed dishes,3202,289,0,8.39,32.39,0.4,0.8,13.58,3.729,5.837,3.068,30,0,3,1,32,2,721,18,0.281,0.133,3.531,0.224,60,6,109,66,29.7,0.31,0,3,0.4,1.39,0,7.2,28,105,20,2.29,1.07,0.136,13,189,943,0,0,0,42.64,0,1,3,747.5,443.5,,,8.39
500,Rice with raisins,Rice mixed dishes,3202,162,1,2.65,32.13,6.49,0.8,2.58,0.51,1.191,0.766,0,22,23,0,17,0,0,0,0.151,0.025,1.348,0.098,47,3,84,50,3.3,0,0,0.2,0.1,0.3,0,3,15,47,14,1.21,0.46,0.086,6.5,104,447,0,0,0,60.98,0,1,3,430,253,,,2.65
501,Rice with squid,Rice mixed dishes,3202,264,0,8.87,29.31,1.1,0.8,11.8,1.897,7.336,1.665,93,4,25,4,223,56,746,32,0.161,0.198,2.414,0.136,44,10,84,54,29.8,0.47,0,22.7,0,3.14,0,6.4,29,128,25,1.81,1.03,0.845,22.9,198,559,0,0,0,47.7,0,1,4,685,406,,,8.87
502,Rice with stewed beans,Rice mixed dishes,3202,138,1,3.66,23.02,0.1,1.5,3.23,0.466,1.326,1.224,0,0,0,0,0,0,0,0,0.128,0.017,0.973,0.078,35,18,78,53,8.3,0,0,0,0,0.78,0,3.7,25,50,20,1.51,0.59,0.102,5.1,134,464,0,0,0,68.28,0,1,3,370,217,,,3.66
503,Rice with vienna sausage,Rice mixed dishes,3202,269,0,6.46,33.54,0.41,0.8,11.6,3.296,5.4,2.171,24,0,2,2,27,1,791,12,0.223,0.056,2.291,0.118,63,4,111,67,17.1,0.24,0,1.6,0.2,0.98,0,4.9,21,72,15,1.98,0.95,0.113,10.9,115,959,0,0,0,45.6,0,1,3,697.5,413.5,,,6.46
504,Ripe plantain meat pie,Meat mixed dishes,3002,315,0,12.81,22.03,11.4,2.1,20.22,4.894,8.512,4.72,125,42,79,208,335,3,2006,301,0.095,0.235,2.432,0.278,0,29,29,29,102.1,0.8,0,13.1,0.7,2.58,0,39.2,34,160,42,1.9,2.31,0.13,15.6,554,584,0,0,0,42.08,0,1,4,812.5,482.5,,,12.81
505,Roast beef sandwich on wheat,Deli and cured meat sandwiches,3740,204.5,0,15.31,22.365,2.825,2.6,5.725,2.1845,1.48,0.949,29.5,21,21.5,0,7,0.5,0,32,0.211,0.2255,4.828,0.288,6.5,31,42.5,38,31.4,1.025,0,0.1,0.25,0.44,0,3.55,148.5,232,38,2.455,2.315,0.132,21.5,390,667.5,0,0,0,53.645,0,1,5,5546.5,3077.5,,,15.31
506,Roast beef sandwich on white,Deli and cured meat sandwiches,3740,206.5,0,14.37,24.17,2.89,1.1,5.54,2.2325,1.511,1.0945,29.5,21,21.5,0,6,0.5,0,22.5,0.2635,0.2375,4.769,0.2555,41,15,85,56.5,28.2,1.025,0,0,0.25,0.375,0,1,172,206,24,2.555,2.085,0.1,19.35,356,673,0,0,0,53.045,0,1,5,5600.5,3107.5,,,14.37
507,Roll with meat and/or shrimp,"Egg rolls, dumplings, sushi",3406,112,0,5.65,17.23,3.91,1.9,2.65,0.458,1.238,0.58,22,10,234,912,2239,3,0,163,0.065,0.077,1.748,0.143,0,41,41,41,24.9,0.19,0,7.5,0,0.72,0,28.7,34,88,32,0.58,0.64,0.139,6.8,208,395,0,0,0,72.55,0,1,5,361,234,,,5.65
508,Salami sandwich on wheat,Deli and cured meat sandwiches,3740,322,0,16.4,22.4,2.815,2.6,18.19,6.6865,7.362,3.0105,55,25,25.5,0,7,0.5,0,32,0.364,0.2175,5.0615,0.2795,6.5,29,40.5,35.5,44.2,0.63,0,0.1,0.65,0.505,0,2.85,157,209.5,38,2.145,2.075,0.1365,29.9,263.5,1070,0,0,0,39.14,0,1,4,991,654,,,16.4
509,Salami sandwich on white,Deli and cured meat sandwiches,3740,323.5,0,15.46,24.205,2.88,1.1,18.005,6.7345,7.3935,3.1555,55,25,25.5,0,6,0.5,0,22.5,0.4165,0.23,5.003,0.2465,41,13,82.5,54,41.05,0.63,0,0,0.65,0.445,0,0.3,180.5,184,24,2.245,1.845,0.104,27.75,229.5,1075,0,0,0,38.55,0,1,4,995.5,657,,,15.46
512,Salmon cake sandwich,Seafood sandwiches,3730,279,0,13.86,19.37,2.22,1,15.93,2.971,4.638,6.722,56,34,34,0,0,1,0,51,0.279,0.187,5.685,0.301,32,24,77,55,68.7,1.5,0,1.3,5.2,2.32,0,15.4,85,170,24,1.59,0.62,0.076,22.6,227,419,0,0,0,49.02,0,1,6,862,568,,,13.86
513,Salmon salad,Seafood mixed dishes,3006,213,0,10.82,2.73,1.98,0.4,17.36,2.762,3.957,9.527,38,12,20,7,87,17,0,78,0.019,0.117,3.569,0.174,0,17,17,17,55.1,2.37,0,0.7,7.4,1.07,0,43,126,189,19,0.43,0.46,0.045,18.2,245,507,0,0,0,67.46,0,1,6,557.5,329.5,,,10.82
514,Sandwich wrap,Deli and cured meat sandwiches,3740,232,0,12.77,23.3,2.42,1.5,9.4,4.157,2.216,1.583,34,40,41,0,12,1,0,7,0.24,0.239,4.873,0.206,35,11,69,45,19.2,0.38,0,0,0.6,0.16,0,3.6,208,281,22,1.83,1.09,0.06,18.5,230,792,0,0,0,51.34,0,1,4,721,474,,,12.77
515,Sardine sandwich,Seafood sandwiches,3730,234,0,17.87,21.87,2.37,1,7.96,1.214,2.468,3.691,79,18,18,0,0,0,0,20,0.27,0.233,5.029,0.134,38,17,82,55,48.2,4.97,0,0,2.7,1.23,0,1.5,306,322,34,3.12,1.12,0.158,39.6,273,371,0,0,0,48.98,0,1,6,727,478,,,17.87
517,Sausage English muffin sandwich,Egg/breakfast sandwiches,3706,300,0,13.48,22.81,2.51,1.7,17.2,7.017,6.213,2.535,44,54,55,0,13,1,0,24,0.322,0.246,3.922,0.106,27,22,67,49,31,0.58,0,0.9,1.1,0.53,0,1,237,192,22,2.39,1.78,0.096,21.3,183,615,0,0,0,43.93,1,0,4,925,610,,,13.48
519,Sausage and peppers,Meat mixed dishes,3002,247,0,13.99,3.26,1.88,0.3,19.87,6.929,8.779,3.778,61,14,19,5,55,2,0,89,0.235,0.19,4.006,0.285,0,3,3,3,54.9,0.76,0,15.4,0.8,0.73,0,2.4,11,109,16,1.09,1.85,0.072,15.4,263,551,0,0,0,60.88,0,1,4,766,504,,,13.99
525,Sausage biscuit sandwich,Egg/breakfast sandwiches,3706,371,0,11.425,25.46,2.77,1.45,24.785,11.9985,6.9275,3.4855,37.5,40.5,41.5,0,6,0.5,0,1.5,0.342,0.2655,4.087,0.1075,30.5,19.5,71,50,21.95,0.43,0,0,0.8,0.585,0,2.8,115.5,368,16,1.995,1.275,0.0745,15.4,193,881,0,0,0,35.155,1,0,4,1509,937.5,,,11.425
527,Sausage griddle/pancake sandwich,Egg/breakfast sandwiches,3706,278,0,10.53,17.04,6.27,0.6,18.69,5.57,7.405,4.214,177,95,96,0,7,5,0,191,0.15,0.251,1.885,0.122,10,21,37,30,116.7,0.61,0,0,1.5,1.55,0,5.2,76,189,13,1.25,1.21,0.037,18.2,174,505,0,0,0,51.66,1,0,4,859,566,,,10.53
528,Sausage with tomato-based sauce,Meat mixed dishes,3002,234,0,13.28,2.58,1.82,0.4,19.09,6.166,8.06,3.602,60,20,26,0,74,1,3944,7,0.185,0.141,4.548,0.164,0,3,3,3,46.1,0.68,0,2,1,1.06,0,0.8,11,112,16,1.12,1.77,0.084,14.6,327,863,0,0,0,62.06,0,1,4,727,478,,,13.28
530,Seafood garden salad with seafood,Seafood mixed dishes,3006,55,0,7.775,2.705,1.13,0.825,1.2475,0.32775,0.349,0.31375,83.75,11.25,137.5,103,1465.5,2.25,106.75,867.75,0.0425,0.105,0.83425,0.0915,0,37,37,37,53.9,0.735,0,8.825,0.15,0.7975,0,55.7,60.75,98.75,23.5,0.695,1.1525,0.207,17.375,228.25,261.75,0,0,0,87.135,0,1,6,162.5,92.5,,,7.775
531,Seafood paella,Rice mixed dishes,3202,146,0,7.59,15.7,0.85,0.9,5.64,0.93,3.594,0.669,41,14,33,13,217,19,141,243,0.105,0.029,1.31,0.126,22,11,49,33,32.6,0.54,0,7.4,0.5,1.65,0,4.1,34,86,17,1.09,0.86,0.22,17.8,113,231,0,0,0,69.74,0,1,5,1193,740,,,7.59
532,Seafood salad,Seafood mixed dishes,3006,190,0,10.12,1.25,0.56,0.4,15.82,2.501,3.529,9.354,93,3,9,0,61,1,0,66,0.017,0.039,0.956,0.065,0,22,22,22,50.1,0.96,0,4.2,0,1.41,0,39.8,69,114,22,0.54,1.74,0.462,28.7,167,585,0,0,0,70.88,0,1,6,500,295,,,10.12
533,Seafood salad sandwich,Seafood sandwiches,3730,216,0,9.89,17.24,2.15,1,11.75,1.941,2.592,6.859,62,2,6,0,41,1,0,59,0.18,0.106,2.224,0.074,29,23,72,52,38.3,0.64,0,2.8,0,1.01,0,26.6,116,114,24,1.48,1.46,0.349,26.8,150,540,0,0,0,59.16,0,1,6,565,334,,,9.89
534,Seafood souffle,Seafood mixed dishes,3006,153,0,9.94,5.56,2.21,0.1,9.98,4.833,2.449,0.815,161,129,130,0,14,4,0,134,0.071,0.197,1.379,0.076,4,21,27,25,94.1,0.88,0,0.6,1.3,0.56,0,0.7,89,143,16,1.01,1.05,0.096,22.8,149,425,0,0,0,72.92,0,1,6,1249,775,,,9.94
535,Seafood thermidor,Seafood mixed dishes,3006,251,0,10.64,4.66,2.55,0.1,21.16,10.993,5.052,1.087,169,164,168,2,43,2,0,57,0.052,0.182,1.161,0.102,3,20,26,24,82.7,0.98,0,0.8,1.1,1,0,1.8,106,186,22,0.48,1.65,0.381,27.5,191,388,0,0,0,61.83,0,1,6,2033,1265,,,10.64
536,Seven-layer salad,Vegetable dishes,3104,229,0,4.7,5.79,3.19,1.2,20.71,4.374,5.014,10.406,47,33,57,5,289,2,0,482,0.09,0.107,0.674,0.082,0,27,27,27,40.7,0.21,0,6.7,0.3,0.95,0,47.7,59,77,10,0.43,0.59,0.04,6.4,123,265,0,0,0,67.59,0,1,3,597.5,353.5,,,4.7
537,Shellfish and noodles with tomato-based sauce,Seafood mixed dishes,3006,135,0,6.58,15.74,1.36,1.1,5.04,0.782,1.887,1.781,36,22,29,0,84,1,4454,28,0.167,0.101,1.688,0.077,41,9,79,50,36.4,1.67,0,2.2,0.1,1.5,0,4.6,23,100,22,1.34,0.62,0.117,21,179,239,0,0,0,71.15,0,1,6,1105,685,,,6.58
538,Shellfish mixture and vegetables excluding carrots,Seafood mixed dishes,3006,117,0,6.3,7.63,1.49,1,6.93,1.204,2.355,2.885,28,33,37,10,38,16,0,162,0.027,0.055,0.713,0.062,0,12,12,12,35.7,2.13,0,1,0.2,1.33,0,17.3,44,102,16,0.54,0.47,0.058,11.7,181,308,0,0,0,77.61,0,1,6,317.5,185.5,,,6.3
539,Shellfish mixture and vegetables including carrots,Seafood mixed dishes,3006,111,0,6.25,5.92,1.57,1.1,6.92,1.203,2.333,2.883,28,33,154,504,1188,0,0,241,0.03,0.05,0.602,0.069,0,13,13,13,34.3,2.13,0,5.7,0.2,1.63,0,25.8,47,98,13,0.54,0.44,0.06,11.7,173,317,0,0,0,79.31,0,1,6,302.5,176.5,,,6.25
541,Shrimp and noodles,Seafood mixed dishes,3006,146,0,7.3,16.43,0.26,0.8,5.5,0.884,2.074,1.946,59,21,21,0,1,0,0,24,0.192,0.092,1.848,0.076,49,9,93,59,42.6,0.38,0,0,0.1,1.26,0,3.9,26,108,21,1.01,0.73,0.114,24.9,57,144,0,0,0,69.65,0,1,6,463,302,,,7.3
542,Shrimp and noodles with cheese sauce,Seafood mixed dishes,3006,136,0,8.18,13.45,0.24,0.6,5.37,2.511,1.643,0.729,54,38,38,0,8,0,0,18,0.151,0.134,1.397,0.068,36,9,71,45,32.3,0.37,0,0.2,0.3,0.41,0,0.3,106,142,20,0.83,0.88,0.089,19.9,81,192,0,0,0,71.65,0,1,6,433,282,,,8.18
543,Shrimp and noodles with cream or white sauce,Seafood mixed dishes,3006,143,0,7.14,16.25,1.66,0.7,5.32,1.87,1.496,1.11,56,59,60,0,13,0,0,20,0.185,0.123,1.65,0.117,42,8,80,50,40.1,0.44,0,0,0.4,0.84,0,2.4,59,120,21,0.93,0.74,0.096,21.1,96,162,0,0,0,70.07,0,1,6,454,296,,,7.14
544,Shrimp and noodles with gravy,Seafood mixed dishes,3006,131,0,6.02,14.7,0.3,0.6,5.18,0.899,1.965,1.673,49,17,17,0,1,0,0,20,0.16,0.089,1.558,0.068,39,8,75,47,35,0.3,0,0,0.1,1.04,0,3.3,23,92,17,0.83,0.61,0.096,19.9,58,178,0,0,0,73.03,0,1,6,418,272,,,6.02
545,Shrimp and noodles with mushroom sauce,Seafood mixed dishes,3006,133,0,6.31,15.05,0.79,0.8,5.24,0.984,1.678,2.067,46,22,22,0,1,0,0,20,0.156,0.088,1.526,0.069,38,8,72,45,37.2,0.34,0,0,0.2,0.98,0,8.1,35,99,18,0.82,0.63,0.093,20.1,78,226,0,0,0,72.18,0,1,6,424,276,,,6.31
546,Shrimp and noodles with tomato sauce,Seafood mixed dishes,3006,134,0,6.46,15.39,1.36,1.1,5.22,0.82,1.968,1.865,49,18,25,0,84,1,4455,28,0.167,0.097,1.857,0.095,41,10,80,52,38.6,0.31,0,2.2,0.1,1.62,0,4.7,25,98,22,1.15,0.68,0.131,20.9,143,172,0,0,0,71.66,0,1,6,427,278,,,6.46
547,Shrimp and vegetables excluding carrots,Seafood mixed dishes,3006,124,0,9.25,6.78,1.2,1.3,6.87,1.033,2.744,2.635,77,33,40,17,66,30,0,288,0.027,0.045,1.382,0.126,0,23,23,23,57.8,0.6,0,1.8,0,1.97,0,15.5,44,137,25,0.4,0.8,0.121,18.2,157,41,0,0,0,75.98,0,1,6,335,196,,,9.25
548,Shrimp and vegetables in sauce with noodles,Seafood mixed dishes,3006,91,0,5.29,13.45,1.87,1.5,1.72,0.491,0.321,0.545,37,5,129,518,1210,10,0,164,0.1,0.077,0.839,0.051,21,12,47,32,18.5,0.11,0,7.1,0,0.55,0,8,32,58,15,0.9,0.54,0.093,15.7,87,456,0,0,0,78.1,0,1,6,252.5,146.5,,,5.29
549,Shrimp and vegetables including carrots,Seafood mixed dishes,3006,118,0,9.35,3.8,1.37,1.6,7.25,1.086,2.866,2.782,78,33,255,923,2173,0,0,438,0.033,0.038,1.209,0.143,0,25,25,25,56.3,0.62,0,10.5,0,2.61,0,31.7,51,133,20,0.41,0.76,0.126,18.7,146,59,0,0,0,78.34,0,1,6,320,187,,,9.35
552,Shrimp creole,Seafood mixed dishes,3006,123.5,0,12.225,8.215,1.14,0.9,4.4,0.8725,1.813,1.415,117.5,59.5,69,0.5,116,0,877,36.5,0.2545,0.044,1.557,0.14,11,13,32,24,61.6,0.66,0,7.75,0.15,1.51,0,5.25,73.5,150.5,25,1.075,1.06,0.17,26.9,156,294.5,0,0,0,73.47,0,1,6,395.5,257,,,12.225
553,Shrimp garden salad,Seafood mixed dishes,3006,66,0,8.54,2.58,1.13,0.75,2.09,0.562,0.6455,0.465,130,22,138.5,95,1349,3,98.5,826.5,0.042,0.1265,0.4485,0.072,0,31.5,31.5,31.5,73.2,0.385,0,8.2,0.3,0.71,0,51.25,68,99,22,0.98,0.875,0.11,19.1,194,296,0,0,0,85.56,0,1,6,190,109,,,8.54
554,Shrimp gumbo,Seafood mixed dishes,3006,61,0,6.52,4.63,1.78,0.9,1.89,0.782,0.335,0.351,62,11,19,0,94,0,4159,66,0.029,0.055,1.26,0.047,1,20,22,21,29.2,0.2,0,4.5,0,0.76,0,8.7,67,73,20,1.1,0.67,0.154,11.8,194,377,0,0,0,85.35,0,1,6,208,132,,,6.52
555,Shrimp in garlic sauce,Seafood mixed dishes,3006,281,0,11.56,2.45,0.47,0.2,24.96,4.318,14.453,4.762,104,140,162,1,241,27,0,84,0.026,0.028,1.5,0.176,0,21,21,21,70,0.89,0,12,0.6,5.19,0,39.8,52,209,21,0.41,0.86,0.163,24.7,133,476,0,0,0,58.76,0,1,6,868,572,,,11.56
556,Shrimp salad,Seafood mixed dishes,3006,196,0,10.68,1.27,0.57,0.4,16.2,2.525,3.542,9.598,136,3,8,0,62,1,0,67,0.012,0.025,0.36,0.021,0,15,15,15,49.8,0.4,0,5,0,1.3,0,40.3,86,109,20,1.13,1.05,0.138,24.6,110,703,0,0,0,69.76,0,1,6,515,304,,,10.68
557,Shrimp shish kabob with vegetables,Seafood mixed dishes,3006,83,0,11.23,5.74,2.37,0.8,1.59,0.352,0.471,0.591,95,41,51,2,110,27,0,33,0.041,0.073,1.721,0.199,0,23,23,23,66.1,0.75,0,15,0,1.25,0,5,52,164,24,0.32,0.89,0.181,24.3,201,240,0,0,0,79.55,0,1,6,232.5,134.5,,,11.23
